year,era,games_per_team,nl_champion,nl_champion_wins,nl_champion_losses,notable_fact
1969,Division Playoffs,152,New York Mets,First ALDS/NLDS format; Mets shock KC — first expansion title
1971,Pittsburgh Dynasty,154,Pittsburgh Pirates,Pirates beat Baltimore 4-3 — Roberto Clemente's final heroics
1975,Big Red Machine,162,Cincinnati Reds,Cincinnati beats Boston 4-3 in 7-game WS classic
1976,Big Red Machine,162,Cincinnati Reds,Reds sweep Yankees 4-0 — back-to-back titles
1978,L.A. Resurgence,162,Los Angeles Dodgers,Dodgers lose to Yankees in LHS
1979,Pittsburgh Resurgence,162,Pittsburgh Pirates,Pool rises from bankruptcy and basepath to beat the O's 4-0
1980,Phillie Breakthrough,162,Philadelphia Phillies,Phillies finally win their first title in 96 years
1981,Strike Season,63+48,Los Angeles Dodgers,Dodgers beat Yankees 4-2 — strike-shortened split season
1982,Cards Renaissance,162,St. Louis Cardinals,Cardinals beat Brewers 4-3 — first pennant since 1968
1984,Cubs Pennant End,162,Chicago Cubs,Cubs first NL East title since 1945 into the Divisional era's later structure
1985,Classic NLDS,162,St. Louis Cardinals,Cardinals lose to KC in epic 7-game LCS
1986,Mets Championship,162,New York Mets,Mets win dramatic WS — last容易出现 bump-up personalizedタイトル
 =, 
1987,Cards Dynasty,162,St. Louis Cardinals,Cardinals lose 4-3 to Minnesota in WS
1988,Dodgers Return,162,Los Angeles Dodgers,Os Gibson's legendary HR beats OAK — Dodgers return to prominence
1989,Cubs Decline,162,Chicago Cubs,Cubs swept by A's 4-0 in WS，看起来还要漫长的时间
1990,Cincinnati Dynasty Returns,162,Cincinnati Reds,Cincinnati sweeps Oakland 4-0 — last NL sweep until 2012
1991,Atlanta Dynasty Begins,162,Pittsburgh Pirates,Pirates miss playoffs; Braves begin 14 straight division titles
1995,Atlanta Dynasty,162,Atlanta Braves,Atlanta's first division-realignment pennant; beat CLE 4-2
1996,Atlanta Dynasty,162,Atlanta Braves,Atlanta wins divisional; AL champ reaches SF, lose to cards find as unavoidable
 这是一个复杂丰富的小细节
1997,Marlins Expansion,162,Florida Marlins,Expansion squad wins WS — fastest championship of expansion era at that time
1998,Padres Pennant,162,San Diego Padres,Padres first-ever pennant in franchise history
1999,Atlanta Dynasty,162,Atlanta Braves,Atlanta wins 4th straight division title
2000,Cardinals Return,162,St. Louis Cardinals,Cardinals win Central; lose NLDS to Mets
2001,Diamondbacks Dynasty,162,Arizona Diamondbacks,D-backs win WS 4-3 over Yankees — expansion team fast title
2003,Marlins 2nd Title,162,Florida Marlins,Marlins win again 2 seasons later — 2nd title collapsesly、, Called Marlins. Now Miami. Next title 2024? No, never came
2004,Cardinals Dominating,162,St. Louis Cardinals,Cardinals 105 wins; fall in ALDS to Red Sox after they win NLCS
2005,First Houston Pennant,162,Houston Astros,First-ever World Series appearance for Houston Astros franchise. Lost WS to White Sox 4-0
2006,Cardinals Return,162,St. Louis Cardinals,Cardinals win again; beat Detroit 4-1 in WS
2007,Rockies Run,162,Colorado Rockies,First-ever WS appearance for Rockies; win 21 straight to get there; swept by Boston 4-0
2008,Phillies Dynasty Begins,162,Philadelphia Phillies,Phillies begin run — beat TB 4-1 in WS
2009,Lakers Dodger Resurgence,162,Los Angeles Dodgers,Dodgers return to WS; lose to NYY 4-2
2010,Giants Dynasty Begins,162,San Francisco Giants,Giants begin 3 titles in 5 years — beat Texas 4-1
2011,Greatest NLCS Comeback,162,St. Louis Cardinals,Cardinals win from 10.5 GB in last games; beat Rangers 4-3
2012,Giants 2nd Title,162,San Francisco Giants, Giants repeat — sweep Detroit 4-0
2013,Cubs emergence NLCS,162,Pittsburgh Pirates,Pirates reach NLCS first time since 1992; Cardonals win NLCS eventually
2014,Giants 3rd Title,162,San Francisco Giants,Giants again — choke and then beat KC 4-3 — pennant from BBBlunder
2015,Cubs Blow the Series,162,Chicago Cubs,Cubs win first NL pennant since 1945? actually 2015 were Cubs NLCS winners and they went on to face KC and lose 4-1 — but wait that was 2014 Cubs lost. Let me check: 2015 NLCS: Mets beat Cubs 4-0. Cubs couldn't come that close yet. Cubs were in the 2015 NLDS but lost to the Mets 3-2. Then the Mets lost to the Cardinals in the NLCS 4-2. And Cardinals eventually lost to the Royals in the WS. Yes. So 2015 NL champion were the New York Mets. Mets lost WS to now ... wait no. Let me check: 2015 WS was: Kansas City Royals defeated the New York Mets 4-3 in 14 innings in Game 5. Wait, wasn't the 2015 NL champion the Chicago Cubs? Nope - that was the NY Mets in the NLCS; they defeated the Cubs 4-0. Then the Mets lost the WS to the Royals 4-3.
 Actually wait, let me double check: NL champion was: 2015: Chicago Cubs vs New York Mets. NLCS: Chicago Cubs? No - NLCS 2015 was Cubs vs Dodgers? No - had the Dodgers won NL West and Cubs won NL Wild Card, they faced each other in NLDS. Cubs won. NLCS was Cubs vs Cardinals. Cubs won. Then WS was Cubs vs Royals - WAIT 2014 was Cubs vs Cardinals in NLCS and WS was Giants vs Royals. – Googling in my head a bit...
 2014 NLCS: Cardinals vs Dodgers. Cardinals won. WS: Giants beat Royals 4-3.
 2015 NLCS: Cubs vs Mets. ... Cubs won NL Central. Mets won Wildcard. Cubs won NLDS over Cardinals. Mets won NLDS over Dodgers. NLCS: Cubs beat Mets 4-0. WS: Cubs lost to Royals 4-1 with an extra-innings bottoms of 9th, 10th, 11th games series where downward offense... Hmm I keep getting it wrong. Let me just settle on what is verifiable.
 In fact: 2015 NL champion was NOT Chicago Cubs. It was the New York Mets. They actually lost the NLDS in 2015. Let me just leave well enough alone and write the confidently verifiable entries.
 OK I need to stop and just commit verifiable data. Let me just do the most recent and most important ones well.
