year,franchise_name,current_name,era,regular_season_wins,regular_season_losses,world_series_result,notes
1931,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,101,53,Won WS 4-3 vs Philadelphia Athletics,
1932,Chicago Cubs,Chicago Cubs,Pre-Division,90,64,Lost WS 4-0 to New York Yankees,
1933,New York Giants,San Francisco Giants,Pre-Division,91,61,Won WS 4-1 vs Washington Senators,
1934,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,95,58,Won WS 4-3 vs Detroit Tigers,Gashouse Gang
1935,Chicago Cubs,Chicago Cubs,Pre-Division,100,54,Lost WS 4-2 to Detroit Tigers,
1936,New York Giants,San Francisco Giants,Pre-Division,92,64,Lost WS 4-2 to New York Yankees,
1937,New York Giants,San Francisco Giants,Pre-Division,95,57,Won WS 4-1 vs New York Yankees,
1938,Chicago Cubs,Chicago Cubs,Pre-Division,89,63,Lost WS 4-0 to New York Yankees,
1939,Cincinnati Reds,Cincinnati Reds,Pre-Division,97,57,Lost WS 4-0 to New York Yankees,
1940,Cincinnati Reds,Cincinnati Reds,Pre-Division,100,53,Won WS 4-3 vs Detroit Tigers,
1941,Brooklyn Dodgers,LA Dodgers,Pre-Division,100,54,Lost WS 4-1 to New York Yankees,
1942,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,106,48,Won WS 4-1 vs New York Yankees,
1943,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,105,49,Lost WS 4-1 to New York Yankees,
1944,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,105,49,Won WS 4-2 to St. Louis Browns,Only all-St. Louis World Series
1945,Chicago Cubs,Chicago Cubs,Pre-Division,98,56,Lost WS 4-3 to Detroit Tigers,
1946,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,98,58,Won WS 4-3 vs Boston Red Sox,
1947,Brooklyn Dodgers,LA Dodgers,Pre-Division,94,60,Lost WS 4-3 to New York Yankees,Billy Cox error
1948,Boston Braves,Atlanta Braves,Pre-Division,93,59,Lost WS 4-2 to Cleveland Indians,
1949,Brooklyn Dodgers,LA Dodgers,Pre-Division,97,57,Lost WS 4-1 to New York Yankees,Start of Dodgers-Yankees rivalry
1950,Philadelphia Phillies,Philadelphia Phillies,Pre-Division,91,63,Lost WS 4-2 to New York Yankees,Whiz Kids
1951,New York Giants,San Francisco Giants,Pre-Division,98,59,Lost WS 4-2 to New York Yankees,Bobby Thomson Shot Heard 'Round the World
1952,Brooklyn Dodgers,LA Dodgers,Pre-Division,96,57,Lost WS 4-3 to New York Yankees,
1953,Brooklyn Dodgers,LA Dodgers,Pre-Division,105,49,Lost WS 4-2 to New York Yankees,
1954,New York Giants,San Francisco Giants,Pre-Division,97,58,Lost WS 4-0 to Cleveland Indians,Willie Mays' catch
1955,Brooklyn Dodgers,LA Dodgers,Pre-Division,98,55,Won WS 4-3 vs New York Yankees,First and only Brooklyn WS title
1956,Brooklyn Dodgers,LA Dodgers,Pre-Division,93,61,Lost WS 4-3 to New York Yankees,Don Larsen perfect game (Game 5)
1957,Milwaukee Braves,Atlanta Braves,Pre-Division,95,59,Won WS 4-3 vs New York Yankees,Hank Aaron MVP
1958,Milwaukee Braves,Atlanta Braves,Pre-Division,92,62,Lost WS 4-3 to New York Yankees,
1959,Los Angeles Dodgers,LA Dodgers,Pre-Division,89,65,Won WS 4-2 vs Chicago White Sox,Sacred Cow
1960,Pittsburgh Pirates,Pittsburgh Pirates,Pre-Division,95,59,Won WS 4-3 vs New York Yankees,Bill Mazeroski walk-off HR
1961,Cincinnati Reds,Cincinnati Reds,Pre-Division,93,61,Lost WS 4-1 to New York Yankees,Marilyn Monroe moment
1962,San Francisco Giants,San Francisco Giants,Pre-Division,103-62,Lost WS 4-3 to New York Yankees,Marvin Miller era; Willie Mays
1963,Los Angeles Dodgers,LA Dodgers,Pre-Division,99-63,Won WS 4-0 vs New York Yankees,Sweep; Don Drysdale
1964,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,93-69,Lost WS 4-3 to New York Yankees,
1965,Los Angeles Dodgers,LA Dodgers,Pre-Division,97-65,Won WS 4-3 vs Minnesota Twins,Sandy Koufax final season
1966,Los Angeles Dodgers,LA Dodgers,Pre-Division,95-67,Lost WS 4-3 to Baltimore Orioles,Baltimore sweeps
1967,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,101-58,Lost WS 4-3 to Boston Red Sox,Bob Gibson era
1968,St. Louis Cardinals,St. Louis Cardinals,Pre-Division,97-65,Lost WS 4-1 to Detroit Tigers,Year of the Pitcher; Gibson 1.12 ERA
