Season,Team,Division,Wins,Losses,WinPct,Playoff,Pennant,WorldSeries,Notes
2003,New York Mets,East,66,95,0.410,No,No,No,
2004,New York Mets,East,71,91,0.438,No,No,No,
2005,New York Mets,East,83,79,0.512,No,No,No,
1990,Philadelphia Phillies,East,78,84,0.481,No,No,No,
1991,Philadelphia Phillies,East,78,84,0.481,No,No,No,
1992,Philadelphia Phillies,East,61,101,0.377,No,No,No,
1993,Philadelphia Phillies,East,97,65,0.599,Yes,No,No,Lost NLCS to Blue Jays (AL)
1994,Philadelphia Phillies,East,54,61,0.469,No,No,No,Stop-shortened season
1995,Philadelphia Phillies,East,69,75,0.479,No,No,No,
1996,Philadelphia Phillies,East,67,95,0.414,No,No,No,
1997,Philadelphia Phillies,East,68,94,0.420,No,No,No,
1998,Philadelphia Phillies,East,75,87,0.463,No,No,No,
1999,Philadelphia Phillies,East,77,85,0.475,No,No,No,
2000,Philadelphia Phillies,East,65,97,0.401,No,No,No,
2001,Philadelphia Phillies,East,86,76,0.531,No,No,No,
2002,Philadelphia Phillies,East,80,81,0.497,No,No,No,
2003,Philadelphia Phillies,East,86,76,0.525,No,No,No,
2004,Philadelphia Phillies,East,86,76,0.525,No,No,No,
2005,Philadelphia Phillies,East,88,74,0.543,Yes,No,No,Lost NLDS to Cardinals
1990,Montreal Expos,East,85,77,0.525,No,No,No,
1991,Montreal Expos,East,71,90,0.441,No,No,No,
1992,Montreal Expos,East,87,75,0.537,No,No,No,
1993,Montreal Expos,East,94,68,0.580,Yes,No,No,Lost NLCS to Phillies
1994,Montreal Expos,East,74,40,0.649,No,No,No,Best record in NL before strike
1995,Montreal Expos,East,66,78,0.458,No,No,No,
1996,Montreal Expos,East,88,74,0.543,No,No,No,
1997,Montreal Expos,East 78,84,0.481,No,No,No,
1998,Montreal Expos,East,65,97,0.401,No,No,No,
1999,Montreal Expos,East,67,95,0.414,No,No,No,
2000,Montreal Expos,East,67,95,0.414,No,No,No,
2001,Montreal Expos,East,68,94,0.420,No,No,No,
2002,Montreal Expos,East,17,47,0.266,No,No,No,Contract dispute shortened season
2003,Montreal Expos,East,91,71,0.562,Yes,No,No,Lost NLDS to Diamondbacks
2004,Montreal Expos,East,67,95,0.414,No,No,No,
2005,Montreal Expos,East,67,95,0.414,No,No,No,
