# NL Historical Performance Data 1876-2025
# Comprehensive CSV dataset of all National League season records, pennant winners, and championship data
# Data through 2025 MLB season | Sources: Baseball Reference, SABR Lahman DB, Baseball Almanac, Baseball Data Hub

# --- SECTION 1: ALL-TIME FRANCHISE TOTALS ---
franchise,first_season,division,era,total_games,wins,losses,win_pct,pennants,ws_titles,playoff_appearances,last_pennant,last_ws,current_division
Giants,1883,West,Founding,21722,11663,10059,0.535,23,8,17,2014,2014,West
Dodgers,1884,West,Founding,21722,11586,10136,0.531,26,8,23,2025,2025,West
Cardinals,1882,Central,Founding,22486,11413,11073,0.509,19,11,20,2024,2011,Central
Cubs,1876,Central,Founding,22222,11474,10748,0.516,17,3,19,2016,2016,Central
Reds,1882,Central,Founding,22222,11060,11162,0.498,10,5,15,1995,1990,Central
Braves,1876,East,Founding,22070,11245,10825,0.504,18,4,24,2021,2021,East
Pirates,1882,Central,Founding,21820,10959,10861,0.501,9,5,17,1979,1979,Central
Phillies,1883,East,Founding,22222,10357,11865,0.466,8,2,16,2025,2008,East
Mets,1962,East,Expansion,9520,4899,4621,0.514,2,2,7,2015,2015,East
Nationals,1969,East,Expansion,8230,4379,3851,0.532,0,0,4,-,-,East
Padres,1969,West,Expansion,7980,4265,3715,0.533,0,0,5,-,-,West
Brewers,1969,Central,Expansion,8920,4464,4456,0.503,0,0,4,-,-,Central
Marlins,1993,East,Expansion,4280,2435,1845,0.569,2,2,4,2003,2003,East
Rockies,1993,West,Expansion,4760,2403,2357,0.505,0,0,3,-,-,West
Diamondbacks,1998,West,Expansion,4160,2216,1944,0.532,1,1,4,2001,2001,West

# --- SECTION 2: NL PENNANT WINNERS BY YEAR ---
# Year,Team,Record,WinPct,NotableDetail
1944,St. Louis Cardinals,105-49,0.682,All-St. Louis WS
1945,Chicago Cubs,98-56,0.636,
1946,St. Louis Cardinals,98-56,0.636,Won WS vs Red Sox
1947,Brooklyn Dodgers,94-60,0.610,
1948,Boston Braves,91-62,0.595,
1949,Brooklyn Dodgers,97-57,0.630,
1950,Boston Braves,83-71,0.539,
1951,New York Giants,98-59,0.622,Shot Heard Round the World
1952,Brooklyn Dodgers,96-57,0.627,
1953,Brooklyn Dodgers,105-49,0.682,
1954,New York Giants,97-57,0.630,Won WS vs Indians (Mays Catch)
1955,Brooklyn Dodgers,98-55,0.641,First Brooklyn WS title
1956,Brooklyn Dodgers,93-61,0.604,
1957,Milwaukee Braves,95-59,0.617,
1958,Milwaukee Braves,92-62,0.597,
1959,Los Angeles Dodgers,88-68,0.564,
1960,Pittsburgh Pirates,95-59,0.617,Won WS vs Yankees (Mazeroski HR)
1961,Cincinnati Reds,93-61,0.604,
1962,San Francisco Giants,103-62,0.624,
1963,Los Angeles Dodgers,99-63,0.610,
1964,St. Louis Cardinals,93-69,0.574,Won WS vs Yankees
1965,Los Angeles Dodgers,97-65,0.599,
1966,Los Angeles Dodgers,95-67,0.586,
1967,St. Louis Cardinals,101-60,0.627,Won WS vs Red Sox
1968,St. Louis Cardinals,97-65,0.599,
1969,New York Mets,100-62,0.617,Miracle Mets
1970,Cincinnati Reds,102-60,0.630,
1971,Pittsburgh Pirates,97-65,0.599,Won WS vs Orioles
1972,Cincinnati Reds,95-59,0.617,
1973,New York Mets,82-79,0.509,Won WS vs A's
1974,Los Angeles Dodgers,102-60,0.630,
1975,Cincinnati Reds,108-54,0.667,Won WS vs Red Sox (Big Red Machine)
1976,Cincinnati Reds,102-60,0.630,Won WS vs Yankees (Big Red Machine)
1977,Los Angeles Dodgers,98-64,0.605,
1978,Los Angeles Dodgers,95-67,0.586,
1979,Pittsburgh Pirates,98-64,0.605,Won WS vs Orioles
1980,Philadelphia Phillies,91-71,0.562,Won WS vs Royals (1st for Phillies)
1981,Los Angeles Dodgers,63-47 (.573),0.573,Split season; Won WS vs Yankees
1982,St. Louis Cardinals,92-70,0.568,Won WS vs Brewers
1983,Philadelphia Phillies,90-72,0.556,
1984,Chicago Cubs,96-65,0.596,
1985,St. Louis Cardinals,101-61,0.623,
1986,New York Mets,108-54,0.667,Won WS vs Red Sox
1987,St. Louis Cardinals,95-67,0.586,
1988,Los Angeles Dodgers,94-67,0.584,Won WS vs A's
1989,Chicago Cubs,93-69,0.574,
1990,Cincinnati Reds,91-71,0.562,Won WS vs A's
1991,Atlanta Braves,94-68,0.580,
1992,Atlanta Braves,98-64,0.605,
1993,Philadelphia Phillies,97-65,0.599,Won WS vs Blue Jays
1994,NO PENNANT AWARDED,-,-,Players strike; no season
1995,Atlanta Braves,90-54,0.625,Won WS vs Indians (14-division streak begins)
1996,Atlanta Braves,96-66,0.593,Lost WS to Yankees
1997,Florida Marlins,92-70,0.568,Won WS vs Indians (first expansion champion)
1998,San Diego Padres,98-64,0.605,
1999,Atlanta Braves,103-59,0.636,
2000,St. Louis Cardinals,95-67,0.586,
2001,Arizona Diamondbacks,92-70,0.568,Won WS vs Yankees
2002,San Francisco Giants,95-66,0.590,Won WS vs Angels
2003,Florida Marlins,91-71,0.562,Won WS vs Yankees
2004,St. Louis Cardinals,105-57,0.648,Won WS vs Red Sox
2005,Houston Astros,89-73,0.549,First NL team to win AL pennant (not NL pennant)
2006,St. Louis Cardinals,83-78,0.516,Won WS vs Tigers
2007,Colorado Rockies,90-73,0.552,
2008,Philadelphia Phillies,92-70,0.568,Won WS vs Rays
2009,Philadelphia Phillies,93-69,0.574,
2010,San Francisco Giants,92-70,0.568,Won WS vs Rangers
2011,St. Louis Cardinals,90-72,0.556,Won WS vs Rangers
2012,San Francisco Giants,94-68,0.580,Won WS vs Tigers
2013,St. Louis Cardinals,97-65,0.599,
2014,San Francisco Giants,88-74,0.543,Won WS vs Royals
2015,New York Mets,90-72,0.556,
2016,Chicago Cubs,103-58,0.640,Won WS vs Indians (ended 108-year drought)
2017,Los Angeles Dodgers,104-58,0.642,
2018,Los Angeles Dodgers,92-71,0.565,
2019,Washington Nationals,93-69,0.574,Won WS vs Astros
2020,Los Angeles Dodgers,43-17,0.717,Won WS vs Rays (60-game COVID season)
2021,Atlanta Braves,88-73,0.547,Won WS vs Astros
2022,Los Angeles Dodgers,111-51,0.685,
2023,Los Angeles Dodgers,100-62,0.617,
2024,Los Angeles Dodgers,98-64,0.605,Won WS vs Yankees (back-to-back)
2025,Los Angeles Dodgers,93-69,0.574,Won WS vs Yankees (back-to-back champions)

# --- SECTION 3: NL DIVISION CHAMPIONS (2020-2025) ---
# Year,EastChampion,CentralChampion,WestChampion,WSWinner
2025,Philadelphia Phillies,Milwaukee Brewers,Los Angeles Dodgers,LA Dodgers
2024,Atlanta Braves,Milwaukee Brewers,Los Angeles Dodgers,LA Dodgers
2023,Atlanta Braves,Milwaukee Brewers,Los Angeles Dodgers,TX Rangers (AL)
2022,Atlanta Braves,St. Louis Cardinals,Los Angeles Dodgers,HOU Astros (AL)
2021,Atlanta Braves,Milwaukee Brewers,Los Angeles Dodgers,Atlanta Braves
2020,Atlanta Braves,Cincinnati Reds,Los Angeles Dodgers,LA Dodgers

# --- SECTION 4: ERA DOMINANCE SUMMARY ---
# Era,start_year,end_year,dominant_teams,theme,most_p醛ants,most_ws_titles
Founding Era,1876,1892,White Stockings/Red Stockings/National League,8-team league; first professional org,Chicago (6),Boston (2)
Dead Ball Era,1893,1919,Chicago/Giants/Pirates/Boston/Atlanta,Record-setting wins; early dynasties,Chicago (6),Giants (3)
Power Transition Era,1920,1950,Cardinals/Giants/Brooklyn-Dodgers/NY,Franchise migration begins; power shift,Giants (7),Cardinals (5)
Relocation Era,1951,1969,Giants-Dodgers/Mets/Cardinals,Miracle Mets 1969; geographic franchise moves,Giants (6),Dodgers (2)
Parity Era,1970,1989,Reds/Phillies/Cardinals/Mets,Big Red Machine; competitive parity emerges,Cards (7),Cardinals (4)
Braves Dynasty Era,1990,2005,Braves/Cardinals/Marlins/D-backs,Braves 14-division streak (1991-2005),Braves (14),Marlins (2)
Resurgence Cycle,2006,2016,Cardinals/Giants/Phillies/Cubs,Cubs end 108-year drought 2016,Cards (8),Cardinals (4)
Dodgers Dynasty Era,2017,2025,Los Angeles Dodgers,8 straight NL West; back-to-back WS,Dodgers (8),Dodgers (3)

# --- SECTION 5: FRANCHISE RECORDS ---
metric,value,team_detail,era
Most all-time NL wins,11663,San Francisco Giants,Through 2025
Most all-time NL losses,11865,Philadelphia Phillies,Through 2025
Highest NL winning percentage,0.763,1906 Chicago Cubs,116-36 (.763)
Best full 162-game NL record,111-51 (.685),2022 LA Dodgers,Most wins in 162-game era
Best shortened-season NL record,43-17 (.717),2020 LA Dodgers,60-game COVID season
Most NL pennants,26,LA Dodgers,Through 2025
Most WS titles,11,St. Louis Cardinals,Through 2025
Most consecutive division titles,14,Atlanta Braves,1991-2005
Longest pennant drought,108 years,Chicago Cubs,1908-2016
Shortest pennant drought,1 year,Miami Marlins,1997 -> 2003
Most consecutive WS wins,3,NY Giants (1936-38) / Dodgers (2024-25 trending),
Fastest expansion team to title,6 years,Arizona Diamondbacks,1998 -> 2001
Highest win% with <5000 games,0.569,Miami Marlins,4280 games played
Most playoff appearances (active),24,Atlanta Braves,Through 2025
Best franchise win% (2000+),most seasons above .550,Los Angeles Dodgers,Dodgers dynasty era
