year,era,division,team,wins,losses,win_pct,games_back,postseason_result
1998,Divisional,NL West,Arizona Diamondbacks,65,97,.401,33.0,—
2001,Divisional,NL Central,Houston Astros,93,69,.574,—,—
2001,Divisional,NL Central,St. Louis Cardinals,93,69,.574,—,—
2001,Divisional,NL Central,Chicago Cubs,88,74,.543,5.0,—
2001,Divisional,NL Central,Milwaukee Brewers,68,94,.420,20.5,—
2001,Divisional,NL Central,Cincinnati Reds,66,96,.407,22.5,—
2001,Divisional,NL Central,Pittsburgh Pirates,62,100,.383,26.5,—
2001,Divisional,NL East,Atlanta Braves,88,74,.543,—,NL Champions; WS lost to Arizona
2001,Divisional,NL East,Philadelphia Phillies,86,76,.531,2.0,—
2001,Divisional,NL East,New York Mets,82,80,.506,6.0,—
2001,Divisional,NL East,Florida Marlins,76,86,.469,12.0,—
2001,Divisional,NL East,Montreal Expos,68,94,.420,20.0,—
2001,Divisional,NL West,Arizona Diamondbacks,92,70,.568,—,NL Champions; WS Champions vs New York
2001,Divisional,NL West,San Francisco Giants,90,72,.556,2.0,—
2001,Divisional,NL West,Los Angeles Dodgers,86,76,.531,6.0,—
2001,Divisional,NL West,San Diego Padres,79,83,.488,13.0,—
2001,Divisional,NL West,Colorado Rockies,73,89,.451,19.0,—
2015,Divisional,NL East,New York Mets,90,72,.556,—,NL Champions; WS lost to Kansas City
2015,Divisional,NL East,Washington Nationals,83,79,.512,7.0,—
2015,Divisional,NL East,Miami Marlins,71,91,.438,19.0,—
2015,Divisional,NL East,Atlanta Braves,67,95,.414,23.0,—
2015,Divisional,NL East,Philadelphia Phillies,63,99,.389,27.0,—
2015,Divisional,NL Central,St. Louis Cardinals,100,62,.617,—,NL Champions; WS lost to Kansas City
2015,Divisional,NL Central,Pittsburgh Pirates,98,64,.605,2.0,—
2015,Divisional,NL Central,Chicago Cubs,97,65,.599,3.0,—
2015,Divisional,NL Central,Milwaukee Brewers,68,94,.420,35.0,—
2015,Divisional,NL Central,Cincinnati Reds,64,98,.395,39.0,—
2015,Divisional,NL West,Los Angeles Dodgers,92,70,.568,—,—
2015,Divisional,NL West,San Francisco Giants,84,78,.519,8.0,—
2015,Divisional,NL West,Arizona Diamondbacks,79,83,.488,13.0,—
2015,Divisional,NL West,San Diego Padres,74,88,.457,18.0,—
2015,Divisional,NL West,Colorado Rockies,68,94,.420,24.0,—
2020,COVID-60,NL East,Atlanta Braves,35,25,.583,—,NL Champions; WS lost to Dodgers
2020,COVID-60,NL East,Miami Marlins,31,29,.517,4.5,—
2020,COVID-60,NL East,Philadelphia Phillies,28,32,.467,8.0,—
2020,COVID-60,NL East,New York Mets,26,34,.433,10.0,—
2020,COVID-60,NL East,Washington Nationals,26,34,.433,10.0,—
2020,COVID-60,NL Central,Chicago Cubs,34,26,.567,—,—
2020,COVID-60,NL Central,Cincinnati Reds,31,29,.517,3.0,—
2020,COVID-60,NL Central,St. Louis Cardinals,30,28,.517,3.5,—
2020,COVID-60,NL Central,Milwaukee Brewers,29,31,.483,5.0,—
2020,COVID-60,NL Central,Pittsburgh Pirates,19,41,.317,15.5,—
2020,COVID-60,NL West,Los Angeles Dodgers,43,17,.717,—,NL Champions; WS Champions vs Tampa Bay
2020,COVID-60,NL West,San Diego Padres,37,23,.617,6.0,—
2020,COVID-60,NL West,San Francisco Giants,29,31,.483,14.0,—
2020,COVID-60,NL West,Colorado Rockies,26,34,.433,18.0,—
2020,COVID-60,NL West,Arizona Diamondbacks,25,35,.417,19.0,—
2023,Divisional,NL East,Atlanta Braves,104,58,.642,—,NL Champions; WS lost to Texas
2023,Divisional,NL East,Philadelphia Phillies,90,72,.556,14.0,NL Champions; WS lost to Texas
2023,Divisional,NL East,Miami Marlins,84,78,.519,20.0,—
2023,Divisional,NL East,New York Mets,75,87,.463,29.0,—
2023,Divisional,NL East,Washington Nationals,71,91,.438,33.0,—
2023,Divisional,NL Central,Milwaukee Brewers,92,70,.568,—,—
2023,Divisional,NL Central,Chicago Cubs,83,79,.512,9.5,—
2023,Divisional,NL Central,Cincinnati Reds,82,80,.506,10.5,—
2023,Divisional,NL Central,Pittsburgh Pirates,76,86,.469,16.5,—
2023,Divisional,NL Central,St. Louis Cardinals,71,91,.438,21.5,—
2023,Divisional,NL West,Los Angeles Dodgers,100,62,.617,—,NL Champions; WS lost to Texas
2023,Divisional,NL West,Arizona Diamondbacks,84,78,.519,16.0,Wild Card; NLDS advanced; WS lost to Texas
2023,Divisional,NL West,San Diego Padres,82,80,.506,18.0,—
2023,Divisional,NL West,San Francisco Giants,79,83,.488,21.0,—
2023,Divisional,NL West,Colorado Rockies,59,103,.364,38.0,—
2024,Divisional,NL East,Philadelphia Phillies,95,67,.586,—,NL Champions; WS lost to Los Angeles
2024,Divisional,NL East,Atlanta Braves,89,73,.549,6.0,—
2024,Divisional,NL East,New York Mets,89,73,.549,6.0,Wild Card
2024,Divisional,NL East,Washington Nationals,71,91,.438,24.0,—
2024,Divisional,NL East,Miami Marlins,62,100,.383,31.0,—
2024,Divisional,NL Central,Milwaukee Brewers,93,69,.574,—,—
2024,Divisional,NL Central,St. Louis Cardinals,83,79,.512,10.0,—
2024,Divisional,NL Central,Chicago Cubs,83,79,.512,10.0,—
2024,Divisional,NL Central,Cincinnati Reds,77,85,.475,16.0,—
2024,Divisional,NL Central,Pittsburgh Pirates,76,86,.469,17.0,—
2024,Divisional,NL West,Los Angeles Dodgers,98,64,.605,—,NL Champions; WS Champions vs New York
2024,Divisional,NL West,San Diego Padres,93,69,.574,5.0,Wild Card
2024,Divisional,NL West,Arizona Diamondbacks,89,73,.549,10.0,Wild Card
2024,Divisional,NL West,San Francisco Giants,80,82,.494,19.0,—
2024,Divisional,NL West,Colorado Rockies,61,101,.377,33.0,—
2025,Divisional,NL East,Philadelphia Phillies,96,66,.593,—,NL Champions
2025,Divisional,NL East,New York Mets,83,79,.512,7.0,—
2025,Divisional,NL East,Miami Marlins,79,83,.488,11.0,—
2025,Divisional,NL East,Atlanta Braves,76,86,.469,14.0,—
2025,Divisional,NL East,Washington Nationals,66,96,.407,24.0,—
2025,Divisional,NL Central,Milwaukee Brewers,97,65,.599,—,NL Champions
2025,Divisional,NL Central,Chicago Cubs,92,70,.568,5.0,—
2025,Divisional,NL Central,Cincinnati Reds,83,79,.512,14.0,—
2025,Divisional,NL Central,St. Louis Cardinals,78,84,.481,19.0,—
2025,Divisional,NL Central,Pittsburgh Pirates,71,91,.438,26.0,—
2025,Divisional,NL West,Los Angeles Dodgers,93,69,.574,—,NL Champions; WS Champions vs Toronto
2025,Divisional,NL West,San Diego Padres,90,72,.556,3.0,—
2025,Divisional,NL West,San Francisco Giants,81,81,.500,12.0,—
2025,Divisional,NL West,Arizona Diamondbacks,80,82,.494,13.0,—
2025,Divisional,NL West,Colorado Rockies,43,119,.265,44.0,—
