year,era,home_team,away_team,home_wins,away_wins
2011,Modern,Atlanta Braves,New York Mets,10,9
2011,Modern,Pittsburgh Pirates,St. Louis Cardinals,9,10
2011,Modern,Philadelphia Phillies,Atlanta Braves,10,9
2010,Modern,San Francisco Giants,St. Louis Cardinals,11,8
2010,Modern,San Francisco Giants,Cincinnati Reds,10,9
2010,Modern,Philadelphia Phillies,Atlanta Braves,12,7
2010,Modern,Atlanta Braves,Philadelphia Phillies,10,9
2010,Modern,Philadelphia Phillies,New York Mets,11,8
2010,Modern,Atlanta Braves,New York Mets,11,8
2009,Modern,Los Angeles Dodgers,St. Louis Cardinals,12,7
2009,Modern,Los Angeles Dodgers,San Francisco Giants,13,6
2009,Modern,Saint Louis Cardinals,Atlanta Braves,11,8
2009,Modern,Atlanta Braves,Philadelphia Phillies,11,8
2009,Modern,Philadelphia Phillies,New York Mets,12,7
2009,Modern,Chicago Cubs,St. Louis Cardinals,9,10
2008,Modern,Philadelphia Phillies,Los Angeles Dodgers,12,7
2008,Modern,Philadelphia Phillies,Atlanta Braves,11,8
2008,Modern,Chicago Cubs,St. Louis Cardinals,8,10
2008,Modern,Atlanta Braves,New York Mets,11,8
2008,Modern,New York Mets,Atlanta Braves,10,9
2007,Modern,Colorado Rockies,Atlanta Braves,11,8
2007,Modern,Colorado Rockies,San Diego Padres,12,7
2007,Modern,Philadelphia Phillies,Atlanta Braves,10,9
2007,Modern,Philadelphia Phillies,New York Mets,11,8
2007,Modern,Atlanta Braves,New York Mets,10,9
2006,Modern,St. Louis Cardinals,Atlanta Braves,11,8
2006,Modern,Atlanta Braves,New York Mets,10,9
2006,Modern,Saint Louis Cardinals,Pittsburgh Pirates,11,8
2006,Modern,New York Mets,Atlanta Braves,10,9
2006,Modern,San Diego Padres,Los Angeles Dodgers,9,10
2005,Modern,Houston Astros,Atlanta Braves,10,9
2005,Modern,Houston Astros,St. Louis Cardinals,11,8
2005,Modern,Atlanta Braves,Philadelphia Phillies,11,8
2005,Modern,Atlanta Braves,New York Mets,10,9
2005,Modern,San Diego Padres,Los Angeles Dodgers,10,9
2004,Modern,Atlanta Braves,Los Angeles Dodgers,12,7
2004,Modern,Atlanta Braves,Philadelphia Phillies,11,8
2004,Modern,Houston Astros,Atlanta Braves,10,9
2004,Modern,Houston Astros,St. Louis Cardinals,11,8
2004,Modern,Houston Astros,Chicago Cubs,11,8
2003,Modern,Atlanta Braves,Philadelphia Phillies,12,7
2003,Modern,Atlanta Braves,Florida Marlins,11,8
2003,Modern,San Francisco Giants,Los Angeles Dodgers,12,7
2003,Modern,Chicago Cubs,Atlanta Braves,10,9
2003,Modern,Chicago Cubs,Pittsburgh Pirates,11,8
2003,Modern,St. Louis Cardinals,Atlanta Braves,9,10
2002,Modern,San Francisco Giants,Atlanta Braves,11,8
2002,Modern,St. Louis Cardinals,Chicago Cubs,12,7
2002,Modern,Atlanta Braves,Philadelphia Phillies,10,9
2002,Modern,Atlanta Braves,New York Mets,11,8
2002,Modern,Atlanta Braves,Montreal Expos,12,7
2001,Modern,Atlanta Braves,Philadelphia Phillies,11,8
2001,Modern,Atlanta Braves,New York Mets,11,8
2001,Modern,Arizona Diamondbacks,Atlanta Braves,10,9
2001,Modern,Houston Astros,Atlanta Braves,10,9
2001,Modern,Houston Astros,St. Louis Cardinals,11,8
2001,Modern,San Francisco Giants,Atlanta Braves,9,10
2000,Modern,Atlanta Braves,New York Mets,12,7
2000,Modern,Atlanta Braves,Philadelphia Phillies,11,8
2000,Modern,St. Louis Cardinals,Atlanta Braves,11,8
2000,Modern,San Francisco Giants,Atlanta Braves,10,9
2000,Modern,St. Louis Cardinals,Houston Astros,11,8
1999,Modern,Atlanta Braves,New York Mets,12,7
1999,Modern,Atlanta Braves,Philadelphia Phillies,12,7
1999,Modern,Houston Astros,Atlanta Braves,9,10
1999,Modern,Houston Astros,St. Louis Cardinals,11,8
1999,Modern,St. Louis Cardinals,Atlanta Braves,10,9
1998,Modern,Atlanta Braves,New York Mets,11,8
1998,Modern,Atlanta Braves,Philadelphia Phillies,12,7
1998,Modern,Atlanta Braves,Montreal Expos,13,6
1998,Modern,Houston Astros,Chicago Cubs,10,9
1998,Modern,St. Louis Cardinals,Houston Astros,11,8
1998,Modern,Houston Astros,St. Louis Cardinals,8,11
