season,team,modern_name,division,wins,losses,win_pct,playoff_result,era,pennant,ws_title,division_title,key_notes
1930,St. Louis Cardinals,St. Louis Cardinals,N/A,92,62,0.597,NL Runner-Up,Live Ball,No,No,No,"Gas House Gang era emerging"
1931,St. Louis Cardinals,St. Louis Cardinals,N/A,101,53,0.658,NL Champions,Live Ball,Yes,No,Yes,"Geese Houser / Pepper Martin led Cardinals"
1934,St. Louis Cardinals,St. Louis Cardinals,N/A,105,49,0.680,NL Runner-Up,Live Ball,No,No,No,"Dizzy Dean 30-win season; lost WS in 7 games"
1935,Chicago Cubs,Chicago Cubs,N/A,100,54,0.649,NL Runner-Up,Live Ball,No,No,No,"100-win season but lost pennant to Cardinals"
1937,New York Giants,New York Mets,N/A,95,57,0.625,NL Runner-Up,Live Ball,No,No,No,"Carl Hubbell 21-6; Mel Ott's power"
1938,Chicago Cubs,Chicago Cubs,N/A,89,63,0.586,NL Runner-Up,Live Ball,No,No,No,"Hartnett's home run in '38; Gabby Hartnett's catching"
1940,Cincinnati Reds,Cincinnati Reds,N/A,100,53,0.654,NL Champions,Live Ball,Yes,Yes,Yes,"Buckland / Arroyo helped fuel Big Red Machine beginning"
1942,St. Louis Cardinals,St. Louis Cardinals,N/A,106,48,0.688,NL Champions,Live Ball,Yes,Yes,Yes,"Marty Marion / Enos Slaughter; wartime cards impact minimized"
1943,St. Louis Cardinals,St. Louis Cardinals,N/A,105,49,0.680,NL Champions,Live Ball,Yes,No,Yes,"Marty Marion led club; Stan Musial began legendary career"
1944,St. Louis Cardinals,St. Louis Cardinals,N/A,105,49,0.680,NL Champions,Live Ball,Yes,No,Yes,"Streetcar Series vs Browns; Cardinals dominated again"
1945,Chicago Cubs,Chicago Cubs,N/A,98,56,0.636,NL Runner-Up,Live Ball,No,No,No,"Phil Cavarretta led Cubs; wartime veterans returning"
1946,St. Louis Cardinals,St. Louis Cardinals,N/A,96,58,0.623,NL Champions,Post-War,Yes,Yes,Yes,"Enos Slaughter's mad dash; Cardinals won WS 1946"
1946,Brooklyn Dodgers,Brooklyn Dodgers,N/A,96,58,0.623,NL Runner-Up,Post-War,No,No,No,"Tied Cardinals in 1946 pennant race"
1951,New York Giants,New York Mets,N/A,98,59,0.623,NL Champions (lost WS),Post-War,Yes,No,Yes,"Bobby Thomson's 'Shot Heard 'Round the World'"
1953,Brooklyn Dodgers,Brooklyn Dodgers,N/A,105,49,0.681,NL Champions,Post-War,Yes,Yes,Yes,"Jackie Robinson era; first Dodgers WS as LA"
1955,Brooklyn Dodgers,Brooklyn Dodgers,N/A,98,55,0.641,NL Champions,Post-War,Yes,Yes,Yes,"Jackie Robinson; Roy Campanella; Dodgers won first WS"
1956,Brooklyn Dodgers,Brooklyn Dodgers,N/A,93,61,0.604,NL Runner-Up,Post-War,No,No,No,"Don Newcombe pitched NL to Triple Crown"
1957,Milwaukee Braves,Milwaukee Brewers,N/A,95,59,0.617,NL Champions,Post-War,Yes,No,Yes,"Eddie Mathews/Hank Aaron; franchise relocates from Boston"
1959,Los Angeles Dodgers,Los Angeles Dodgers,N/A,88,68,0.568,NL Champions,Expansion,Yes,Yes,Yes,"Left fielder and Duke Snider; Dodgers WS title"
1961,Cincinnati Reds,Cincinnati Reds,N/A,93,61,0.604,NL Champions (lost WS),Expansion,Yes,No,Yes,"Frank Robinson era; Cincinnati power surge"
1962,San Francisco Giants,San Francisco Giants,NL West,103,62,0.623,NL Champions (lost WS),Expansion,Yes,No,Yes,"Willie Mays / Felipe Alou; Giants expand to West"
1963,Los Angeles Dodgers,Los Angeles Dodgers,NL West,99,63,0.611,NL Champions,Expansion,Yes,Yes,Yes,"Sandy Koufax/Drysdale pitching; WS sweep by Dodgers"
1965,Los Angeles Dodgers,Los Angeles Dodgers,NL West,97,65,0.599,NL Champions,Expansion,Yes,Yes,Yes,"Koufax championship; Dodgers WS win 1965"
1966,Los Angeles Dodgers,Los Angeles Dodgers,NL West,95,67,0.586,NL Champions,Expansion,Yes,Yes,Yes,"Koufax/Drysdale dominant; WS repeat"
1967,St. Louis Cardinals,St. Louis Cardinals,NL Central,101,60,0.627,NL Champions,Expansion,Yes,Indeed,Yes,"Bob Gibson / Lou Brock; Cardinals WS title"
1968,St. Louis Cardinals,St. Louis Cardinals,NL Central,97,65,0.599,NL Champions,Expansion,Yes,No,Yes,"Year of the Pitcher: Gibson 1.12 ERA; Bob Gibson iconic"
1969,New York Mets,New York Mets,NL East,100,62,0.617,NL Champions (won WS),Expansion,Yes,Yes,Yes,"Miracle Mets; first post-1969 expansion NL title"
1970,Cincinnati Reds,Cincinnati Reds,NL West,102,60,0.630,NL Champions,Expansion,Yes,No,Yes,"Big Red Machine beginning; Kaline error controversy"
1975,Cincinnati Reds,Cincinnati Reds,NL West,108,54,0.667,NL Champions (won WS),Expansion,Yes,Yes,Yes,"Big Red Machine dynasty; franchise best win record in expansion era"
1976,Cincinnati Reds,Cincinnati Reds,NL West,102,60,0.630,NL Champions (won WS),Expansion,Yes,Yes,Yes,"Big Red Machine back-to-back; franchise dynasty era"
1980,Philadelphia Phillies,Philadelphia Phillies,NL East,91,71,0.562,NL Champions (won WS),Expansion,Yes,Yes,Yes,"Phillies first modern WS title"
1986,New York Mets,New York Mets,NL East,108,54,0.667,NL Champions,Expansion,Yes,No,Yes,"108 wins but lost WS to Mets; Lenny Dykstra breakout"
1990,Cincinnati Reds,Cincinnati Reds,NL West,91,71,0.562,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Bengie Molina / José Rijo; WS sweep"
1991,Atlanta Braves,Atlanta Braves,NL West,94,68,0.580,NL Runner-Up,Divisional,No,No,No,"First of 14 consecutive division titles (1991-2005)"
1992,Atlanta Braves,Atlanta Braves,NL West,98,64,0.605,NL Runner-Up,Divisional,No,No,Yes,"14th consecutive division title streak"
1995,Atlanta Braves,Atlanta Braves,NL West,90,54,0.625,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Greg Maddux / Tom Glavine / John Smoltz; WS title"
1997,Florida Marlins,Florida Marlins,NL East,92,70,0.562,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Expansion team wins WS in 5th season; Jeffrey Conine"
1999,Atlanta Braves,Atlanta Braves,NL East,103,59,0.636,NL Runner-Up,Divisional,No,No,Yes,"14th consecutive division title"
2001,Arizona Diamondbacks,Arizona Diamondbacks,NL West,92,70,0.568,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Luis Gonzalez walk-off; expansion team wins WS"
2003,Florida Marlins,Florida Marlins,NL East,91,71,0.562,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Second WS title in 8 seasons; Josh Beckett's Cy Young"
2004,St. Louis Cardinals,St. Louis Cardinals,NL Central,105,57,0.648,NL Runner-Up,Divisional,No,No,Yes,"Chris Carpenter / Jim Edmonds; lost to Red Sox in WS"
2006,St. Louis Cardinals,St. Louis Cardinals,NL Central,83,78,0.516,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Cardinals unlikely WS title in division era"
2011,St. Louis Cardinals,St. Louis Cardinals,NL Central,90,72,0.556,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Miracle Cardinals comeback; Allen Craig / David Freese"
2012,San Francisco Giants,San Francisco Giants,NL West,94,68,0.580,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Matt Cain's perfect game; second of three titles"
2014,San Francisco Giants,San Francisco Giants,NL West,88,74,0.543,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Madison Bumgarner dominant; third NL pennant in 5 years"
2016,Chicago Cubs,Chicago Cubs,NL Central,103,58,0.642,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Ended 108-year drought; Theo Epstein / Kris Bryant era"
2017,Washington Nationals,NL East,97,65,0.599,NL Runner-Up,Divisional,No,No,No,"Max Scherzer / Stephen Strasburg; lost in 2019 WS"
2019,Washington Nationals,NL East,93,69,0.574,NL Champions (won WS),Divisional,Yes,Yes,Yes,"Surprising championship; Juan Soto / Stephen Strasburg WS MVP"
2020,Los Angeles Dodgers,NL West,43,17,0.717,NL Champions (won WS),COVID-Modern,Yes,Yes,Yes,"Shortened 60-game season; pods + MVP Corey Seager"
2021,Atlanta Braves,NL East,88,73,0.547,NL Runner-Up,Modern,No,No,Yes,"Ronald Acuña Jr. MVP; 14th division title"
2022,Los Angeles Dodgers,NL West,111,51,0.685,NL Runner-Up,Modern,No,No,Yes,"111 wins but lost NLDS; Shohei Ohtani era looming"
2023,Arizona Diamondbacks,NL West,84,78,0.519,NL Champions (won WS),Modern,Yes,Yes,Yes,"Wild card to WS champions; Corbin Burnes / Zac Gallen"
2024,Los Angeles Dodgers,NL West,98,64,0.605,NL Champions,Modern,Yes,Yes,Yes,"Freddie Freeman / Shohei Ohtani; 8th pennant in 10 years"
2025,Los Angeles Dodgers,NL West,96,66,0.593,NL Champions,Modern,Yes,Yes,Yes,"9th consecutive NL pennant run; continued dynasty"
