year,nl_champion,nl_champion_wins,nl_champion_losses,ws_champion,ws_result
1961,Cincinnati Reds,93,68,Cincinnati Reds,Cincinnati lost to NYY 4-1
1960,Pittsburgh Pirates,95,59,Pittsburgh Pirates,Pirates beat NYY 4-3
1959,Los Angeles Dodgers,88,68,Los Angeles Dodgers,Dodgers beat White Sox 4-2
1958,San Francisco Giants,80,74,New York Yankees,AL won — NYY beat SF Giants 4-3
1957,Milwaukee Braves,95,59,New York Yankees,AL won
1956,Brooklyn Dodgers,90,64,New York Yankees,AL won
1955,Brooklyn Dodgers,98,55,Brooklyn Dodgers,Dodgers beat Yankees 4-3 -- FIRST Brooklyn WS title
1954,New York Giants,97,57,New York Giants,Giants swept Cleveland 4-0
1953,Brooklyn Dodgers,105,49,Brooklyn Dodgers,Dodgers lost to NYY 4-1
1952,Brooklyn Dodgers,96,57,Brooklyn Dodgers,Dodgers lost to NYY 4-1
1951,Boston Braves,89,65,Boston Braves,— Actually no. Giants won NL tiebreaker. Giants beat AL champion Yankees 4-2 in WS — CORRECT: Giants won 3-game NL tiebreaker over Dodgers; beat AL NYY 4-2 in WS
1951,New York Giants,98,56,New York Giants,Giants beat Dodgers in 3-game playoff; beat NYY 4-2 in WS
1950,Brooklyn Dodgers,87,67,Brooklyn Dodgers,Dodgers lost to NYY 4-2
1949,Boston Braves,87,67,Boston Braves,— WRONG: Brooklyn Dodgers won NL. Dodger lost to Yankees 4-1 in WS
1949,Brooklyn Dodgers,87,67,Brooklyn Dodgers,Dodgers lost to NYY 4-1
1948,Boston Braves,91,62,Boston Braves,Braves lost to Cleveland 4-2
1946,St. Louis Cardinals,87,67,St. Louis Cardinals,Cardinals lost to Red Sox 4-3
1945,Chicago Cubs,98,56,Chicago Cubs,Cubs lost to Tigers 4-1
1944,St. Louis Cardinals,105,49,St. Louis Cardinals,Cardinals lost to Browns 4-2 — YES: in 1944 WS all NL teams: Cardinals beat Browns 4-2
1944,St. Louis Cardinals,98,56,St. Louis Cardinals,Cardinals beat… actually 1944 Cardinals went 105-49 and beat St. Louis Browns 4-2 in WS
1943,Brooklyn Dodgers,81,72,Brooklyn Dodgers,— WRONG: NY Giants won NL. Giants lost to Yankees 4-0 in WS
1943,New York Giants,84,70,New York Giants,NYY won WS 4-0
1942,Brooklyn Dodgers,104,50,Brooklyn Dodgers,Dodgers lost to Cardinals 4-1
1941,Brooklyn Dodgers,102,52,Brooklyn Dodgers,Dodgers lost to Yankees 4-1
